_time,_value_norm_6,_value_norm_35,_value_norm_40
2024-04-01 03:00:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 03:05:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 03:10:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 03:15:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 03:20:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 03:25:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 03:30:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 03:35:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 03:40:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 03:45:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 03:50:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 03:55:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 04:00:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 04:05:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 04:10:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 04:15:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 04:20:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 04:25:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 04:30:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 04:35:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 04:40:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
2024-04-01 04:45:00+00:00,-0.1776020023357835,-0.29881806235388547,-0.27388861559671557
